year,city,country,avg_temp
1791,Alexandria,Egypt,22.6
1792,Alexandria,Egypt,20.17
1793,Alexandria,Egypt,19.94
1794,Alexandria,Egypt,20.31
1795,Alexandria,Egypt,20.22
1796,Alexandria,Egypt,20.39
1797,Alexandria,Egypt,20.48
1798,Alexandria,Egypt,20.67
1799,Alexandria,Egypt,20.66
1800,Alexandria,Egypt,20.52
1801,Alexandria,Egypt,20.83
1802,Alexandria,Egypt,20.94
1803,Alexandria,Egypt,20.94
1804,Alexandria,Egypt,20.7
1805,Alexandria,Egypt,20.35
1806,Alexandria,Egypt,20.4
1807,Alexandria,Egypt,20.36
1808,Alexandria,Egypt,19.69
1809,Alexandria,Egypt,19.03
1810,Alexandria,Egypt,19.12
1811,Alexandria,Egypt,19.19
1812,Alexandria,Egypt,19.02
1813,Alexandria,Egypt,19.55
1814,Alexandria,Egypt,19.5
1815,Alexandria,Egypt,19.39
1816,Alexandria,Egypt,18.91
1817,Alexandria,Egypt,19.08
1818,Alexandria,Egypt,19.9
1819,Alexandria,Egypt,19.44
1820,Alexandria,Egypt,19.73
1821,Alexandria,Egypt,19.69
1822,Alexandria,Egypt,19.8
1823,Alexandria,Egypt,19.82
1824,Alexandria,Egypt,20.52
1825,Alexandria,Egypt,20.03
1826,Alexandria,Egypt,19.96
1827,Alexandria,Egypt,20.7
1828,Alexandria,Egypt,20.08
1829,Alexandria,Egypt,19.98
1830,Alexandria,Egypt,20.32
1831,Alexandria,Egypt,19.61
1832,Alexandria,Egypt,19.23
1833,Alexandria,Egypt,19.89
1834,Alexandria,Egypt,19.74
1835,Alexandria,Egypt,19.23
1836,Alexandria,Egypt,19.67
1837,Alexandria,Egypt,19.29
1838,Alexandria,Egypt,19.3
1839,Alexandria,Egypt,19.52
1840,Alexandria,Egypt,19.65
1841,Alexandria,Egypt,20.08
1842,Alexandria,Egypt,19.92
1843,Alexandria,Egypt,19.91
1844,Alexandria,Egypt,19.77
1845,Alexandria,Egypt,20.05
1846,Alexandria,Egypt,20.67
1847,Alexandria,Egypt,20.17
1848,Alexandria,Egypt,20
1849,Alexandria,Egypt,20
1850,Alexandria,Egypt,19.45
1851,Alexandria,Egypt,20.21
1852,Alexandria,Egypt,20.13
1853,Alexandria,Egypt,20.75
1854,Alexandria,Egypt,19.75
1855,Alexandria,Egypt,20.18
1856,Alexandria,Egypt,19.61
1857,Alexandria,Egypt,19.33
1858,Alexandria,Egypt,19.88
1859,Alexandria,Egypt,20.04
1860,Alexandria,Egypt,20.49
1861,Alexandria,Egypt,19.39
1862,Alexandria,Egypt,19.43
1863,Alexandria,Egypt,19.8
1864,Alexandria,Egypt,20.29
1865,Alexandria,Egypt,20.59
1866,Alexandria,Egypt,20.43
1867,Alexandria,Egypt,20.41
1868,Alexandria,Egypt,20.03
1869,Alexandria,Egypt,20.55
1870,Alexandria,Egypt,20.44
1871,Alexandria,Egypt,20.05
1872,Alexandria,Egypt,20.37
1873,Alexandria,Egypt,20.56
1874,Alexandria,Egypt,19.81
1875,Alexandria,Egypt,19.13
1876,Alexandria,Egypt,20.18
1877,Alexandria,Egypt,20.36
1878,Alexandria,Egypt,20.4
1879,Alexandria,Egypt,20.56
1880,Alexandria,Egypt,20.16
1881,Alexandria,Egypt,20.45
1882,Alexandria,Egypt,19.29
1883,Alexandria,Egypt,19.78
1884,Alexandria,Egypt,19.34
1885,Alexandria,Egypt,20.12
1886,Alexandria,Egypt,19.76
1887,Alexandria,Egypt,20.34
1888,Alexandria,Egypt,20.04
1889,Alexandria,Egypt,20.1
1890,Alexandria,Egypt,20.11
1891,Alexandria,Egypt,20.09
1892,Alexandria,Egypt,20.42
1893,Alexandria,Egypt,19.66
1894,Alexandria,Egypt,19.99
1895,Alexandria,Egypt,20.14
1896,Alexandria,Egypt,20.17
1897,Alexandria,Egypt,19.85
1898,Alexandria,Egypt,20.13
1899,Alexandria,Egypt,20.18
1900,Alexandria,Egypt,20.73
1901,Alexandria,Egypt,20.89
1902,Alexandria,Egypt,20.41
1903,Alexandria,Egypt,19.59
1904,Alexandria,Egypt,19.78
1905,Alexandria,Egypt,19.9
1906,Alexandria,Egypt,20.15
1907,Alexandria,Egypt,19.47
1908,Alexandria,Egypt,19.4
1909,Alexandria,Egypt,20.4
1910,Alexandria,Egypt,19.62
1911,Alexandria,Egypt,19.73
1912,Alexandria,Egypt,19.89
1913,Alexandria,Egypt,19.65
1914,Alexandria,Egypt,19.92
1915,Alexandria,Egypt,20.64
1916,Alexandria,Egypt,20.86
1917,Alexandria,Egypt,20.25
1918,Alexandria,Egypt,20.58
1919,Alexandria,Egypt,20.38
1920,Alexandria,Egypt,19.92
1921,Alexandria,Egypt,19.97
1922,Alexandria,Egypt,20.61
1923,Alexandria,Egypt,20.66
1924,Alexandria,Egypt,20.82
1925,Alexandria,Egypt,20.48
1926,Alexandria,Egypt,20.47
1927,Alexandria,Egypt,20.96
1928,Alexandria,Egypt,20.8
1929,Alexandria,Egypt,20.21
1930,Alexandria,Egypt,20.81
1931,Alexandria,Egypt,20.69
1932,Alexandria,Egypt,20.55
1933,Alexandria,Egypt,20.07
1934,Alexandria,Egypt,20.53
1935,Alexandria,Egypt,20.68
1936,Alexandria,Egypt,20.94
1937,Alexandria,Egypt,20.96
1938,Alexandria,Egypt,20.12
1939,Alexandria,Egypt,20.95
1940,Alexandria,Egypt,20.56
1941,Alexandria,Egypt,20.88
1942,Alexandria,Egypt,20.61
1943,Alexandria,Egypt,20.59
1944,Alexandria,Egypt,20.48
1945,Alexandria,Egypt,20.12
1946,Alexandria,Egypt,20.89
1947,Alexandria,Egypt,21.04
1948,Alexandria,Egypt,19.96
1949,Alexandria,Egypt,19.71
1950,Alexandria,Egypt,20.57
1951,Alexandria,Egypt,20.83
1952,Alexandria,Egypt,20.84
1953,Alexandria,Egypt,20.11
1954,Alexandria,Egypt,20.43
1955,Alexandria,Egypt,21.23
1956,Alexandria,Egypt,20.45
1957,Alexandria,Egypt,20.56
1958,Alexandria,Egypt,20.92
1959,Alexandria,Egypt,20.11
1960,Alexandria,Egypt,21.37
1961,Alexandria,Egypt,20.35
1962,Alexandria,Egypt,21.13
1963,Alexandria,Egypt,21.1
1964,Alexandria,Egypt,20.22
1965,Alexandria,Egypt,20.52
1966,Alexandria,Egypt,21.08
1967,Alexandria,Egypt,20.11
1968,Alexandria,Egypt,20.63
1969,Alexandria,Egypt,20.75
1970,Alexandria,Egypt,20.64
1971,Alexandria,Egypt,20.51
1972,Alexandria,Egypt,20.7
1973,Alexandria,Egypt,20.54
1974,Alexandria,Egypt,20.55
1975,Alexandria,Egypt,20.45
1976,Alexandria,Egypt,20.22
1977,Alexandria,Egypt,20.64
1978,Alexandria,Egypt,20.61
1979,Alexandria,Egypt,21.07
1980,Alexandria,Egypt,20.44
1981,Alexandria,Egypt,20.6
1982,Alexandria,Egypt,20.16
1983,Alexandria,Egypt,19.87
1984,Alexandria,Egypt,20.51
1985,Alexandria,Egypt,20.84
1986,Alexandria,Egypt,20.59
1987,Alexandria,Egypt,20.21
1988,Alexandria,Egypt,20.63
1989,Alexandria,Egypt,20.46
1990,Alexandria,Egypt,20.73
1991,Alexandria,Egypt,20.64
1992,Alexandria,Egypt,20.09
1993,Alexandria,Egypt,20.74
1994,Alexandria,Egypt,21.1
1995,Alexandria,Egypt,20.62
1996,Alexandria,Egypt,20.85
1997,Alexandria,Egypt,20.52
1998,Alexandria,Egypt,21.29
1999,Alexandria,Egypt,21.46
2000,Alexandria,Egypt,20.74
2001,Alexandria,Egypt,21.45
2002,Alexandria,Egypt,21.46
2003,Alexandria,Egypt,21.22
2004,Alexandria,Egypt,21.06
2005,Alexandria,Egypt,21.08
2006,Alexandria,Egypt,21.15
2007,Alexandria,Egypt,21.51
2008,Alexandria,Egypt,21.74
2009,Alexandria,Egypt,21.67
2010,Alexandria,Egypt,22.46
2011,Alexandria,Egypt,21.18
2012,Alexandria,Egypt,21.55
2013,Alexandria,Egypt,21.44
1808,Cairo,Egypt,17.11
1809,Cairo,Egypt,19.87
1810,Cairo,Egypt,19.93
1811,Cairo,Egypt,20
1812,Cairo,Egypt,19.93
1813,Cairo,Egypt,20.51
1814,Cairo,Egypt,20.43
1815,Cairo,Egypt,20.3
1816,Cairo,Egypt,20.51
1817,Cairo,Egypt,21.88
1818,Cairo,Egypt,11.6
1819,Cairo,Egypt,20.31
1820,Cairo,Egypt,20.58
1821,Cairo,Egypt,20.63
1822,Cairo,Egypt,20.72
1823,Cairo,Egypt,20.71
1824,Cairo,Egypt,21.44
1825,Cairo,Egypt,21
1826,Cairo,Egypt,20.94
1827,Cairo,Egypt,21.63
1828,Cairo,Egypt,20.99
1829,Cairo,Egypt,20.91
1830,Cairo,Egypt,21.25
1831,Cairo,Egypt,20.52
1832,Cairo,Egypt,20.2
1833,Cairo,Egypt,20.81
1834,Cairo,Egypt,20.69
1835,Cairo,Egypt,20.17
1836,Cairo,Egypt,20.59
1837,Cairo,Egypt,20.27
1838,Cairo,Egypt,20.21
1839,Cairo,Egypt,20.43
1840,Cairo,Egypt,20.56
1841,Cairo,Egypt,20.91
1842,Cairo,Egypt,20.92
1843,Cairo,Egypt,20.83
1844,Cairo,Egypt,20.66
1845,Cairo,Egypt,20.9
1846,Cairo,Egypt,21.57
1847,Cairo,Egypt,21.1
1848,Cairo,Egypt,20.89
1849,Cairo,Egypt,20.9
1850,Cairo,Egypt,20.39
1851,Cairo,Egypt,21.11
1852,Cairo,Egypt,21.04
1853,Cairo,Egypt,21.53
1854,Cairo,Egypt,20.74
1855,Cairo,Egypt,21.04
1856,Cairo,Egypt,20.49
1857,Cairo,Egypt,20.29
1858,Cairo,Egypt,20.9
1859,Cairo,Egypt,20.98
1860,Cairo,Egypt,21.33
1861,Cairo,Egypt,20.21
1862,Cairo,Egypt,20.22
1863,Cairo,Egypt,20.6
1864,Cairo,Egypt,21.25
1865,Cairo,Egypt,21.55
1866,Cairo,Egypt,21.35
1867,Cairo,Egypt,21.45
1868,Cairo,Egypt,20.94
1869,Cairo,Egypt,21.41
1870,Cairo,Egypt,21.3
1871,Cairo,Egypt,20.87
1872,Cairo,Egypt,21.14
1873,Cairo,Egypt,21.4
1874,Cairo,Egypt,20.77
1875,Cairo,Egypt,19.99
1876,Cairo,Egypt,21.05
1877,Cairo,Egypt,21.39
1878,Cairo,Egypt,21.54
1879,Cairo,Egypt,21.49
1880,Cairo,Egypt,21.2
1881,Cairo,Egypt,21.56
1882,Cairo,Egypt,20.38
1883,Cairo,Egypt,20.65
1884,Cairo,Egypt,20.23
1885,Cairo,Egypt,20.91
1886,Cairo,Egypt,20.55
1887,Cairo,Egypt,21.21
1888,Cairo,Egypt,21.04
1889,Cairo,Egypt,21.05
1890,Cairo,Egypt,21.09
1891,Cairo,Egypt,21.13
1892,Cairo,Egypt,21.39
1893,Cairo,Egypt,20.57
1894,Cairo,Egypt,20.95
1895,Cairo,Egypt,20.97
1896,Cairo,Egypt,21.17
1897,Cairo,Egypt,20.82
1898,Cairo,Egypt,20.92
1899,Cairo,Egypt,21.04
1900,Cairo,Egypt,21.57
1901,Cairo,Egypt,21.89
1902,Cairo,Egypt,21.36
1903,Cairo,Egypt,20.39
1904,Cairo,Egypt,20.61
1905,Cairo,Egypt,21.03
1906,Cairo,Egypt,21.24
1907,Cairo,Egypt,20.45
1908,Cairo,Egypt,20.37
1909,Cairo,Egypt,21.4
1910,Cairo,Egypt,20.65
1911,Cairo,Egypt,20.78
1912,Cairo,Egypt,20.79
1913,Cairo,Egypt,20.4
1914,Cairo,Egypt,20.96
1915,Cairo,Egypt,21.57
1916,Cairo,Egypt,21.73
1917,Cairo,Egypt,21.12
1918,Cairo,Egypt,21.43
1919,Cairo,Egypt,21.43
1920,Cairo,Egypt,20.72
1921,Cairo,Egypt,20.73
1922,Cairo,Egypt,21.39
1923,Cairo,Egypt,21.39
1924,Cairo,Egypt,21.61
1925,Cairo,Egypt,21.37
1926,Cairo,Egypt,21.22
1927,Cairo,Egypt,21.76
1928,Cairo,Egypt,21.72
1929,Cairo,Egypt,21.07
1930,Cairo,Egypt,21.73
1931,Cairo,Egypt,21.6
1932,Cairo,Egypt,21.43
1933,Cairo,Egypt,21.24
1934,Cairo,Egypt,21.52
1935,Cairo,Egypt,21.61
1936,Cairo,Egypt,22
1937,Cairo,Egypt,21.82
1938,Cairo,Egypt,20.92
1939,Cairo,Egypt,21.85
1940,Cairo,Egypt,21.59
1941,Cairo,Egypt,21.76
1942,Cairo,Egypt,21.59
1943,Cairo,Egypt,21.35
1944,Cairo,Egypt,21.4
1945,Cairo,Egypt,20.83
1946,Cairo,Egypt,21.76
1947,Cairo,Egypt,21.94
1948,Cairo,Egypt,20.88
1949,Cairo,Egypt,20.68
1950,Cairo,Egypt,21.53
1951,Cairo,Egypt,21.82
1952,Cairo,Egypt,21.92
1953,Cairo,Egypt,21.17
1954,Cairo,Egypt,21.45
1955,Cairo,Egypt,22.1
1956,Cairo,Egypt,21.48
1957,Cairo,Egypt,21.49
1958,Cairo,Egypt,21.85
1959,Cairo,Egypt,20.98
1960,Cairo,Egypt,22.3
1961,Cairo,Egypt,21.14
1962,Cairo,Egypt,22.11
1963,Cairo,Egypt,22.09
1964,Cairo,Egypt,21.07
1965,Cairo,Egypt,21.52
1966,Cairo,Egypt,22.1
1967,Cairo,Egypt,20.92
1968,Cairo,Egypt,21.48
1969,Cairo,Egypt,21.88
1970,Cairo,Egypt,21.53
1971,Cairo,Egypt,21.41
1972,Cairo,Egypt,21.57
1973,Cairo,Egypt,21.42
1974,Cairo,Egypt,21.55
1975,Cairo,Egypt,21.35
1976,Cairo,Egypt,21.28
1977,Cairo,Egypt,21.57
1978,Cairo,Egypt,21.67
1979,Cairo,Egypt,22.06
1980,Cairo,Egypt,21.52
1981,Cairo,Egypt,21.42
1982,Cairo,Egypt,21.04
1983,Cairo,Egypt,20.75
1984,Cairo,Egypt,21.32
1985,Cairo,Egypt,21.72
1986,Cairo,Egypt,21.52
1987,Cairo,Egypt,21.24
1988,Cairo,Egypt,21.65
1989,Cairo,Egypt,21.43
1990,Cairo,Egypt,21.6
1991,Cairo,Egypt,21.65
1992,Cairo,Egypt,21.11
1993,Cairo,Egypt,21.79
1994,Cairo,Egypt,22.02
1995,Cairo,Egypt,21.56
1996,Cairo,Egypt,21.88
1997,Cairo,Egypt,21.45
1998,Cairo,Egypt,22.36
1999,Cairo,Egypt,22.28
2000,Cairo,Egypt,21.49
2001,Cairo,Egypt,22.33
2002,Cairo,Egypt,22.41
2003,Cairo,Egypt,22.17
2004,Cairo,Egypt,22.08
2005,Cairo,Egypt,22.01
2006,Cairo,Egypt,22.05
2007,Cairo,Egypt,22.36
2008,Cairo,Egypt,22.64
2009,Cairo,Egypt,22.63
2010,Cairo,Egypt,23.72
2011,Cairo,Egypt,21.99
2012,Cairo,Egypt,22.48
2013,Cairo,Egypt,22.91
